timestamp,food_item,classification,dropped_in,result,score
2025-07-09T14:16:26.715809,Carrot,veg,veg,Correct!,10
2025-07-09T14:16:39.940967,Carrot,veg,veg,Correct!,20
2025-07-09T14:16:50.476397,Carrot,veg,veg,Correct!,30
2025-07-09T14:16:57.983698,Carrot,veg,veg,Correct!,40
2025-07-09T14:17:01.736435,Carrot,veg,veg,Correct!,50
2025-07-09T14:17:24.326916,Fish,non-veg,veg,Incorrect!,45
2025-07-09T14:24:16.520531,Apple,veg,veg,Correct!,10
2025-07-09T14:24:55.271461,Apple,veg,non-veg,Incorrect!,5
2025-07-09T14:24:59.391908,Apple,veg,veg,Correct!,15
2025-07-09T14:25:02.182759,Apple,veg,veg,Correct!,25
2025-07-09T14:25:03.454761,Apple,veg,veg,Correct!,35
2025-07-09T14:25:04.487177,Apple,veg,veg,Correct!,45
2025-07-09T14:25:05.314012,Apple,veg,veg,Correct!,55
2025-07-09T14:25:06.278072,Apple,veg,veg,Correct!,65
2025-07-09T14:25:07.277745,Apple,veg,veg,Correct!,75
2025-07-09T14:29:01.153970,Apple,veg,veg,Correct!,10
2025-07-09T14:29:05.666443,Chicken,non-veg,veg,Incorrect!,5
2025-07-09T14:29:10.659475,Carrot,veg,veg,Correct!,15
2025-07-09T14:29:11.276557,Fish,non-veg,veg,Incorrect!,10
2025-07-09T14:29:15.203289,Broccoli,veg,veg,Correct!,20
2025-07-09T14:29:15.547612,Egg,non-veg,veg,Incorrect!,15
2025-07-09T14:29:18.303114,Healthy Habits for Little Learners,veg,veg,Correct!,25
2025-07-09T14:39:52.657304,Chicken,non-veg,non-veg,Correct!,10
2025-07-09T14:39:56.320713,Carrot,veg,veg,Correct!,20
2025-07-09T14:39:59.552775,Fish,non-veg,non-veg,Correct!,30
2025-07-09T14:40:02.617381,Broccoli,veg,veg,Correct!,40
2025-07-09T14:40:07.763909,Apple,veg,veg,Correct!,50
2025-07-09T14:40:12.902234,Egg,non-veg,non-veg,Correct!,60
2025-07-09T14:54:30.940256,Broccoli,veg,veg,Correct!,10
2025-07-09T14:54:40.397885,Egg,non-veg,non-veg,Correct!,20
2025-07-09T14:54:45.050524,Carrot,veg,non-veg,Incorrect!,15
2025-07-09T14:54:49.818778,Fish,non-veg,veg,Incorrect!,10
2025-07-09T14:54:52.878863,chicken,non-veg,non-veg,Correct!,20
2025-07-09T14:55:02.862410,Apple,veg,veg,Correct!,30
2025-07-09T14:58:47.596857,Carrot,veg,veg,Correct!,10
2025-07-09T14:58:51.020884,Fish,non-veg,non-veg,Correct!,20
2025-07-09T14:58:53.389039,Broccoli,veg,veg,Correct!,30
2025-07-09T14:59:01.929493,Apple,veg,veg,Correct!,40
2025-07-09T14:59:04.506939,Egg,non-veg,veg,Incorrect!,35
2025-07-09T14:59:07.444196,chicken,non-veg,non-veg,Correct!,45
2025-07-09T15:00:45.223164,Apple,veg,veg,Correct!,10
2025-07-09T15:14:05.515243,Broccoli,veg,veg,Correct!,10
2025-07-09T15:14:11.095816,Fish,non-veg,non-veg,Correct!,20
2025-07-09T15:14:15.158914,Egg,non-veg,non-veg,Correct!,30
2025-07-09T15:14:18.672621,Carrot,veg,veg,Correct!,40
2025-07-09T15:14:23.664847,chicken,non-veg,veg,Incorrect!,35
2025-07-09T15:14:23.870845,Apple,veg,veg,Correct!,45
2025-07-09T15:15:10.943515,Fish,non-veg,non-veg,Correct!,10
2025-07-09T15:15:21.221479,Broccoli,veg,veg,Correct!,20
2025-07-09T15:15:25.767090,Egg,non-veg,non-veg,Correct!,30
2025-07-09T15:15:28.022570,Carrot,veg,veg,Correct!,40
2025-07-09T15:15:29.759984,chicken,non-veg,veg,Incorrect!,35
2025-07-09T15:15:35.529943,Apple,veg,veg,Correct!,45
2025-07-09T15:18:09.367116,Broccoli,veg,veg,Correct!,10
2025-07-09T15:24:01.093061,Broccoli,veg,veg,Correct!,10
2025-07-09T15:24:01.707785,Fish,non-veg,veg,Incorrect!,5
2025-07-09T15:24:02.298723,Egg,non-veg,veg,Incorrect!,0
2025-07-09T15:24:03.400306,Carrot,veg,veg,Correct!,10
2025-07-09T15:24:03.882608,chicken,non-veg,veg,Incorrect!,5
2025-07-09T15:24:04.434171,Apple,veg,veg,Correct!,15
2025-07-09T15:27:26.437427,Fish,non-veg,non-veg,Correct!,10
2025-07-09T15:27:29.015151,Broccoli,veg,veg,Correct!,20
2025-07-09T15:27:31.051033,Egg,non-veg,non-veg,Correct!,30
2025-07-09T15:27:32.773884,Carrot,veg,veg,Correct!,40
2025-07-09T15:27:35.389403,chicken,non-veg,non-veg,Correct!,50
2025-07-09T15:27:38.488996,Apple,veg,veg,Correct!,60
2025-07-09T15:27:47.204769,Apple,veg,veg,Correct!,10
2025-07-09T15:27:47.478128,Carrot,veg,veg,Correct!,20
2025-07-09T15:27:48.788656,Fish,non-veg,veg,Incorrect!,15
2025-07-09T15:27:53.194422,Egg,non-veg,veg,Incorrect!,10
2025-07-09T15:27:53.399754,chicken,non-veg,veg,Incorrect!,5
2025-07-09T15:27:54.019938,Broccoli,veg,non-veg,Incorrect!,0
2025-07-09T15:28:13.304656,Fish,non-veg,non-veg,Correct!,10
2025-07-09T15:28:16.266626,Carrot,veg,veg,Correct!,20
2025-07-09T15:28:17.365051,Broccoli,veg,veg,Correct!,30
2025-07-09T15:28:21.017934,Egg,non-veg,non-veg,Correct!,40
2025-07-09T15:28:21.225814,chicken,non-veg,non-veg,Correct!,50
2025-07-09T15:28:23.842038,Apple,veg,veg,Correct!,60
